科室,指标编码,指标名称,年份,月份,数值,指标单位
心内科,nb_of_outp,门诊人次,2025,12,6929.0,人次
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2022,1,19.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2022,2,17.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2022,3,15.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2022,4,16.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2022,5,14.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2022,6,13.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2022,7,13.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2022,8,15.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2022,9,15.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2022,10,17.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2022,11,21.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2022,12,20.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2023,1,20.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2023,2,19.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2023,3,18.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2023,4,16.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2023,5,13.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2023,6,12.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2023,7,13.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2023,8,14.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2023,9,16.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2023,10,20.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2023,11,21.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2023,12,19.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2024,1,21.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2024,2,19.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2024,3,19.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2024,4,15.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2024,5,14.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2024,6,13.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2024,7,14.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2024,8,15.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2024,9,18.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2024,10,21.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2024,11,20.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2024,12,20.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2025,1,23.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2025,2,20.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2025,3,16.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2025,4,15.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2025,5,14.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2025,6,15.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2025,7,16.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2025,8,16.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2025,9,16.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2025,10,19.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2025,11,23.0,床日
心内科,daily_inp_wkl_per_med_prac,每名执业医师日均住院工作负担,2025,12,21.0,床日
心内科,daily_nb_of_oper,日均手术台次,2022,1,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2022,2,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2022,3,1.0,台次
心内科,daily_nb_of_oper,日均手术台次,2022,4,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2022,5,1.0,台次
心内科,daily_nb_of_oper,日均手术台次,2022,6,1.0,台次
心内科,daily_nb_of_oper,日均手术台次,2022,7,1.0,台次
心内科,daily_nb_of_oper,日均手术台次,2022,8,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2022,9,1.0,台次
心内科,daily_nb_of_oper,日均手术台次,2022,10,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2022,11,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2022,12,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2023,1,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2023,2,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2023,3,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2023,4,1.0,台次
心内科,daily_nb_of_oper,日均手术台次,2023,5,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2023,6,1.0,台次
心内科,daily_nb_of_oper,日均手术台次,2023,7,1.0,台次
心内科,daily_nb_of_oper,日均手术台次,2023,8,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2023,9,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2023,10,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2023,11,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2023,12,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2024,1,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2024,2,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2024,3,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2024,4,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2024,5,1.0,台次
心内科,daily_nb_of_oper,日均手术台次,2024,6,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2024,7,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2024,8,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2024,9,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2024,10,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2024,11,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2024,12,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2025,1,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2025,2,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2025,3,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2025,4,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2025,5,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2025,6,1.0,台次
心内科,daily_nb_of_oper,日均手术台次,2025,7,1.0,台次
心内科,daily_nb_of_oper,日均手术台次,2025,8,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2025,9,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2025,10,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2025,11,2.0,台次
心内科,daily_nb_of_oper,日均手术台次,2025,12,2.0,台次
心内科,nb_of_all_oper,总手术台次,2022,1,13.0,台次
心内科,nb_of_all_oper,总手术台次,2022,2,12.0,台次
心内科,nb_of_all_oper,总手术台次,2022,3,10.0,台次
心内科,nb_of_all_oper,总手术台次,2022,4,9.0,台次
心内科,nb_of_all_oper,总手术台次,2022,5,10.0,台次
心内科,nb_of_all_oper,总手术台次,2022,6,9.0,台次
心内科,nb_of_all_oper,总手术台次,2022,7,9.0,台次
心内科,nb_of_all_oper,总手术台次,2022,8,10.0,台次
心内科,nb_of_all_oper,总手术台次,2022,9,10.0,台次
心内科,nb_of_all_oper,总手术台次,2022,10,11.0,台次
心内科,nb_of_all_oper,总手术台次,2022,11,12.0,台次
心内科,nb_of_all_oper,总手术台次,2022,12,13.0,台次
心内科,nb_of_all_oper,总手术台次,2023,1,12.0,台次
心内科,nb_of_all_oper,总手术台次,2023,2,12.0,台次
心内科,nb_of_all_oper,总手术台次,2023,3,10.0,台次
心内科,nb_of_all_oper,总手术台次,2023,4,10.0,台次
心内科,nb_of_all_oper,总手术台次,2023,5,9.0,台次
心内科,nb_of_all_oper,总手术台次,2023,6,10.0,台次
心内科,nb_of_all_oper,总手术台次,2023,7,10.0,台次
心内科,nb_of_all_oper,总手术台次,2023,8,9.0,台次
心内科,nb_of_all_oper,总手术台次,2023,9,11.0,台次
心内科,nb_of_all_oper,总手术台次,2023,10,13.0,台次
心内科,nb_of_all_oper,总手术台次,2023,11,12.0,台次
心内科,nb_of_all_oper,总手术台次,2023,12,12.0,台次
心内科,nb_of_all_oper,总手术台次,2024,1,15.0,台次
心内科,nb_of_all_oper,总手术台次,2024,2,13.0,台次
心内科,nb_of_all_oper,总手术台次,2024,3,11.0,台次
心内科,nb_of_all_oper,总手术台次,2024,4,11.0,台次
心内科,nb_of_all_oper,总手术台次,2024,5,10.0,台次
心内科,nb_of_all_oper,总手术台次,2024,6,9.0,台次
心内科,nb_of_all_oper,总手术台次,2024,7,9.0,台次
心内科,nb_of_all_oper,总手术台次,2024,8,10.0,台次
心内科,nb_of_all_oper,总手术台次,2024,9,11.0,台次
心内科,nb_of_all_oper,总手术台次,2024,10,13.0,台次
心内科,nb_of_all_oper,总手术台次,2024,11,14.0,台次
心内科,nb_of_all_oper,总手术台次,2024,12,14.0,台次
心内科,nb_of_all_oper,总手术台次,2025,1,15.0,台次
心内科,nb_of_all_oper,总手术台次,2025,2,12.0,台次
心内科,nb_of_all_oper,总手术台次,2025,3,12.0,台次
心内科,nb_of_all_oper,总手术台次,2025,4,10.0,台次
心内科,nb_of_all_oper,总手术台次,2025,5,11.0,台次
心内科,nb_of_all_oper,总手术台次,2025,6,9.0,台次
心内科,nb_of_all_oper,总手术台次,2025,7,9.0,台次
心内科,nb_of_all_oper,总手术台次,2025,8,11.0,台次
心内科,nb_of_all_oper,总手术台次,2025,9,12.0,台次
心内科,nb_of_all_oper,总手术台次,2025,10,12.0,台次
心内科,nb_of_all_oper,总手术台次,2025,11,13.0,台次
心内科,nb_of_all_oper,总手术台次,2025,12,15.0,台次
心内科,nb_of_discharge,出院人次,2022,1,1885.0,人次
心内科,nb_of_discharge,出院人次,2022,2,1917.0,人次
心内科,nb_of_discharge,出院人次,2022,3,1642.0,人次
心内科,nb_of_discharge,出院人次,2022,4,1331.0,人次
心内科,nb_of_discharge,出院人次,2022,5,1478.0,人次
心内科,nb_of_discharge,出院人次,2022,6,1388.0,人次
心内科,nb_of_discharge,出院人次,2022,7,1470.0,人次
心内科,nb_of_discharge,出院人次,2022,8,1588.0,人次
心内科,nb_of_discharge,出院人次,2022,9,1739.0,人次
心内科,nb_of_discharge,出院人次,2022,10,1669.0,人次
心内科,nb_of_discharge,出院人次,2022,11,1902.0,人次
心内科,nb_of_discharge,出院人次,2022,12,1839.0,人次
心内科,nb_of_discharge,出院人次,2023,1,1929.0,人次
心内科,nb_of_discharge,出院人次,2023,2,1682.0,人次
心内科,nb_of_discharge,出院人次,2023,3,1636.0,人次
心内科,nb_of_discharge,出院人次,2023,4,1656.0,人次
心内科,nb_of_discharge,出院人次,2023,5,1321.0,人次
心内科,nb_of_discharge,出院人次,2023,6,1418.0,人次
心内科,nb_of_discharge,出院人次,2023,7,1374.0,人次
心内科,nb_of_discharge,出院人次,2023,8,1486.0,人次
心内科,nb_of_discharge,出院人次,2023,9,1830.0,人次
心内科,nb_of_discharge,出院人次,2023,10,2028.0,人次
心内科,nb_of_discharge,出院人次,2023,11,1990.0,人次
心内科,nb_of_discharge,出院人次,2023,12,2100.0,人次
心内科,nb_of_discharge,出院人次,2024,1,1888.0,人次
心内科,nb_of_discharge,出院人次,2024,2,1824.0,人次
心内科,nb_of_discharge,出院人次,2024,3,1891.0,人次
心内科,nb_of_discharge,出院人次,2024,4,1580.0,人次
心内科,nb_of_discharge,出院人次,2024,5,1441.0,人次
心内科,nb_of_discharge,出院人次,2024,6,1452.0,人次
心内科,nb_of_discharge,出院人次,2024,7,1303.0,人次
心内科,nb_of_discharge,出院人次,2024,8,1582.0,人次
心内科,nb_of_discharge,出院人次,2024,9,1730.0,人次
心内科,nb_of_discharge,出院人次,2024,10,2036.0,人次
心内科,nb_of_discharge,出院人次,2024,11,1889.0,人次
心内科,nb_of_discharge,出院人次,2024,12,2266.0,人次
心内科,nb_of_discharge,出院人次,2025,1,1913.0,人次
心内科,nb_of_discharge,出院人次,2025,2,1835.0,人次
心内科,nb_of_discharge,出院人次,2025,3,1814.0,人次
心内科,nb_of_discharge,出院人次,2025,4,1658.0,人次
心内科,nb_of_discharge,出院人次,2025,5,1394.0,人次
心内科,nb_of_discharge,出院人次,2025,6,1316.0,人次
心内科,nb_of_discharge,出院人次,2025,7,1587.0,人次
心内科,nb_of_discharge,出院人次,2025,8,1521.0,人次
心内科,nb_of_discharge,出院人次,2025,9,1814.0,人次
心内科,nb_of_discharge,出院人次,2025,10,2005.0,人次
心内科,nb_of_discharge,出院人次,2025,11,2055.0,人次
心内科,nb_of_discharge,出院人次,2025,12,2172.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2022,1,32.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2022,2,32.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2022,3,25.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2022,4,25.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2022,5,21.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2022,6,21.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2022,7,23.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2022,8,23.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2022,9,26.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2022,10,31.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2022,11,29.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2022,12,32.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2023,1,36.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2023,2,34.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2023,3,26.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2023,4,24.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2023,5,22.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2023,6,24.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2023,7,25.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2023,8,27.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2023,9,27.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2023,10,29.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2023,11,35.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2023,12,35.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2024,1,35.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2024,2,35.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2024,3,30.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2024,4,23.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2024,5,25.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2024,6,22.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2024,7,25.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2024,8,28.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2024,9,27.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2024,10,29.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2024,11,31.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2024,12,35.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2025,1,33.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2025,2,33.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2025,3,31.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2025,4,25.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2025,5,25.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2025,6,23.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2025,7,24.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2025,8,29.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2025,9,32.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2025,10,30.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2025,11,34.0,人次
心内科,nb_of_discharge_oper,出院患者手术人次,2025,12,34.0,人次
心内科,nb_of_drg_pat,DRG总例数,2022,1,1374.0,例
心内科,nb_of_drg_pat,DRG总例数,2022,2,1508.0,例
心内科,nb_of_drg_pat,DRG总例数,2022,3,1336.0,例
心内科,nb_of_drg_pat,DRG总例数,2022,4,1115.0,例
心内科,nb_of_drg_pat,DRG总例数,2022,5,1127.0,例
心内科,nb_of_drg_pat,DRG总例数,2022,6,1051.0,例
心内科,nb_of_drg_pat,DRG总例数,2022,7,1060.0,例
心内科,nb_of_drg_pat,DRG总例数,2022,8,1056.0,例
心内科,nb_of_drg_pat,DRG总例数,2022,9,1190.0,例
心内科,nb_of_drg_pat,DRG总例数,2022,10,1540.0,例
心内科,nb_of_drg_pat,DRG总例数,2022,11,1649.0,例
心内科,nb_of_drg_pat,DRG总例数,2022,12,1575.0,例
心内科,nb_of_drg_pat,DRG总例数,2023,1,1679.0,例
心内科,nb_of_drg_pat,DRG总例数,2023,2,1500.0,例
心内科,nb_of_drg_pat,DRG总例数,2023,3,1247.0,例
心内科,nb_of_drg_pat,DRG总例数,2023,4,1118.0,例
心内科,nb_of_drg_pat,DRG总例数,2023,5,1067.0,例
心内科,nb_of_drg_pat,DRG总例数,2023,6,1159.0,例
心内科,nb_of_drg_pat,DRG总例数,2023,7,1175.0,例
心内科,nb_of_drg_pat,DRG总例数,2023,8,1295.0,例
心内科,nb_of_drg_pat,DRG总例数,2023,9,1449.0,例
心内科,nb_of_drg_pat,DRG总例数,2023,10,1390.0,例
心内科,nb_of_drg_pat,DRG总例数,2023,11,1495.0,例
心内科,nb_of_drg_pat,DRG总例数,2023,12,1482.0,例
心内科,nb_of_drg_pat,DRG总例数,2024,1,1713.0,例
心内科,nb_of_drg_pat,DRG总例数,2024,2,1638.0,例
心内科,nb_of_drg_pat,DRG总例数,2024,3,1357.0,例
心内科,nb_of_drg_pat,DRG总例数,2024,4,1275.0,例
心内科,nb_of_drg_pat,DRG总例数,2024,5,1064.0,例
心内科,nb_of_drg_pat,DRG总例数,2024,6,1201.0,例
心内科,nb_of_drg_pat,DRG总例数,2024,7,1227.0,例
心内科,nb_of_drg_pat,DRG总例数,2024,8,1363.0,例
心内科,nb_of_drg_pat,DRG总例数,2024,9,1469.0,例
心内科,nb_of_drg_pat,DRG总例数,2024,10,1637.0,例
心内科,nb_of_drg_pat,DRG总例数,2024,11,1468.0,例
心内科,nb_of_drg_pat,DRG总例数,2024,12,1738.0,例
心内科,nb_of_drg_pat,DRG总例数,2025,1,1615.0,例
心内科,nb_of_drg_pat,DRG总例数,2025,2,1702.0,例
心内科,nb_of_drg_pat,DRG总例数,2025,3,1510.0,例
心内科,nb_of_drg_pat,DRG总例数,2025,4,1375.0,例
心内科,nb_of_drg_pat,DRG总例数,2025,5,1251.0,例
心内科,nb_of_drg_pat,DRG总例数,2025,6,1086.0,例
心内科,nb_of_drg_pat,DRG总例数,2025,7,1245.0,例
心内科,nb_of_drg_pat,DRG总例数,2025,8,1181.0,例
心内科,nb_of_drg_pat,DRG总例数,2025,9,1530.0,例
心内科,nb_of_drg_pat,DRG总例数,2025,10,1679.0,例
心内科,nb_of_drg_pat,DRG总例数,2025,11,1578.0,例
心内科,nb_of_drg_pat,DRG总例数,2025,12,1817.0,例
心内科,nb_of_oper,手术人次,2022,1,19.0,人次
心内科,nb_of_oper,手术人次,2022,2,17.0,人次
心内科,nb_of_oper,手术人次,2022,3,17.0,人次
心内科,nb_of_oper,手术人次,2022,4,14.0,人次
心内科,nb_of_oper,手术人次,2022,5,12.0,人次
心内科,nb_of_oper,手术人次,2022,6,12.0,人次
心内科,nb_of_oper,手术人次,2022,7,13.0,人次
心内科,nb_of_oper,手术人次,2022,8,16.0,人次
心内科,nb_of_oper,手术人次,2022,9,18.0,人次
心内科,nb_of_oper,手术人次,2022,10,17.0,人次
心内科,nb_of_oper,手术人次,2022,11,20.0,人次
心内科,nb_of_oper,手术人次,2022,12,19.0,人次
心内科,nb_of_oper,手术人次,2023,1,22.0,人次
心内科,nb_of_oper,手术人次,2023,2,19.0,人次
心内科,nb_of_oper,手术人次,2023,3,18.0,人次
心内科,nb_of_oper,手术人次,2023,4,14.0,人次
心内科,nb_of_oper,手术人次,2023,5,15.0,人次
心内科,nb_of_oper,手术人次,2023,6,13.0,人次
心内科,nb_of_oper,手术人次,2023,7,15.0,人次
心内科,nb_of_oper,手术人次,2023,8,14.0,人次
心内科,nb_of_oper,手术人次,2023,9,15.0,人次
心内科,nb_of_oper,手术人次,2023,10,18.0,人次
心内科,nb_of_oper,手术人次,2023,11,21.0,人次
心内科,nb_of_oper,手术人次,2023,12,19.0,人次
心内科,nb_of_oper,手术人次,2024,1,21.0,人次
心内科,nb_of_oper,手术人次,2024,2,19.0,人次
心内科,nb_of_oper,手术人次,2024,3,17.0,人次
心内科,nb_of_oper,手术人次,2024,4,16.0,人次
心内科,nb_of_oper,手术人次,2024,5,14.0,人次
心内科,nb_of_oper,手术人次,2024,6,14.0,人次
心内科,nb_of_oper,手术人次,2024,7,13.0,人次
心内科,nb_of_oper,手术人次,2024,8,17.0,人次
心内科,nb_of_oper,手术人次,2024,9,17.0,人次
心内科,nb_of_oper,手术人次,2024,10,20.0,人次
心内科,nb_of_oper,手术人次,2024,11,21.0,人次
心内科,nb_of_oper,手术人次,2024,12,21.0,人次
心内科,nb_of_oper,手术人次,2025,1,20.0,人次
心内科,nb_of_oper,手术人次,2025,2,18.0,人次
心内科,nb_of_oper,手术人次,2025,3,18.0,人次
心内科,nb_of_oper,手术人次,2025,4,15.0,人次
心内科,nb_of_oper,手术人次,2025,5,14.0,人次
心内科,nb_of_oper,手术人次,2025,6,15.0,人次
心内科,nb_of_oper,手术人次,2025,7,15.0,人次
心内科,nb_of_oper,手术人次,2025,8,15.0,人次
心内科,nb_of_oper,手术人次,2025,9,17.0,人次
心内科,nb_of_oper,手术人次,2025,10,19.0,人次
心内科,nb_of_oper,手术人次,2025,11,20.0,人次
心内科,nb_of_oper,手术人次,2025,12,20.0,人次
心内科,nb_of_outp_emg,门急诊人次,2022,1,9413.0,人次
心内科,nb_of_outp_emg,门急诊人次,2022,2,9384.0,人次
心内科,nb_of_outp_emg,门急诊人次,2022,3,9433.0,人次
心内科,nb_of_outp_emg,门急诊人次,2022,4,8079.0,人次
心内科,nb_of_outp_emg,门急诊人次,2022,5,7745.0,人次
心内科,nb_of_outp_emg,门急诊人次,2022,6,7096.0,人次
心内科,nb_of_outp_emg,门急诊人次,2022,7,6882.0,人次
心内科,nb_of_outp_emg,门急诊人次,2022,8,7877.0,人次
心内科,nb_of_outp_emg,门急诊人次,2022,9,7803.0,人次
心内科,nb_of_outp_emg,门急诊人次,2022,10,9130.0,人次
心内科,nb_of_outp_emg,门急诊人次,2022,11,10028.0,人次
心内科,nb_of_outp_emg,门急诊人次,2022,12,10570.0,人次
心内科,nb_of_outp_emg,门急诊人次,2023,1,10818.0,人次
心内科,nb_of_outp_emg,门急诊人次,2023,2,9770.0,人次
心内科,nb_of_outp_emg,门急诊人次,2023,3,8841.0,人次
心内科,nb_of_outp_emg,门急诊人次,2023,4,7589.0,人次
心内科,nb_of_outp_emg,门急诊人次,2023,5,7356.0,人次
心内科,nb_of_outp_emg,门急诊人次,2023,6,7730.0,人次
心内科,nb_of_outp_emg,门急诊人次,2023,7,7833.0,人次
